Label,Stream,Comment
lh_17Networks_LH_SalVentAttnB_PFCv,Ventral,"Ventral prefrontal cortex (inferior frontal gyrus, PFCv) is a core of the ventral attention/salience network​ JOURNALS.PHYSIOLOGY.ORG . It receives inputs from temporal visual areas and TPJ, allowing it to process salient “what” information and trigger appropriate responses, which is characteristic of ventral stream processing​ PMC.NCBI.NLM.NIH.GOV ​ JOURNALS.PHYSIOLOGY.ORG ."
lh_17Networks_LH_SalVentAttnB_OFC,Ventral,"Orbitofrontal cortex (SalVentAttnB_OFC) is involved in evaluating the significance of stimuli and is linked to ventral-stream sensory input​ EN.WIKIPEDIA.ORG . OFC receives direct projections from inferior temporal visual areas​ EN.WIKIPEDIA.ORG , highlighting its role in ventral networks (associating object identity with value/outcome)."
lh_17Networks_LH_SalVentAttnB_PFCmp,Ventral,"Medial prefrontal cortex parcel in SalVentAttnB (PFCmp) likely corresponds to ventromedial PFC, which integrates emotional and stimulus-driven information (part of ventral attentional control). It is associated with the ventral stream insofar as it processes the motivational relevance of “what” stimuli rather than spatial targets​ JOURNALS.PHYSIOLOGY.ORG ."
lh_17Networks_LH_Limbic_TempPole,Ventral,"Temporal pole is a limbic integration area at the anterior end of the ventral visual stream. It receives high-level visual input (faces/objects) via inferotemporal cortex and limbic inputs​ PMC.NCBI.NLM.NIH.GOV . As such, it processes the meaning and emotional significance of visual stimuli (a ventral stream, “what” function)​ EN.WIKIPEDIA.ORG ."
lh_17Networks_LH_Limbic_OFC,Ventral,Orbitofrontal cortex (limbic network) lies in the ventral frontal lobe and is strongly connected to inferotemporal visual areas and limbic structures​ EN.WIKIPEDIA.ORG . Its role in evaluating objects’ reward/value and social/emotional meaning indicates a ventral stream association (using “what” information from vision)​ EN.WIKIPEDIA.ORG .
lh_17Networks_LH_ContA_Temp,Dorsal,"Control Network A – Temporal region (likely middle temporal gyrus) – participates in the dorsolateral frontoparietal executive network. It interacts with SPL/IPS and DLPFC in goal-directed tasks​ JOURNALS.PHYSIOLOGY.ORG . Thus, even this temporal node functions in a dorsal-stream-related executive capacity (spatial working memory and action planning) rather than pure object analysis."
lh_17Networks_LH_ContA_IPS,Dorsal,"Intraparietal sulcus (IPS) in Control A is part of the dorsal frontoparietal network for top-down attention and visuomotor control​ JOURNALS.PHYSIOLOGY.ORG . IPS is a major dorsal stream hub encoding spatial relationships and linking vision to action (e.g., eye and hand movements)​ JOURNALS.PHYSIOLOGY.ORG ."
lh_17Networks_LH_ContA_PFCd,Dorsal,"Dorsal prefrontal cortex (PFCd) in Control A corresponds to dorsolateral PFC, which is the terminus of the dorsal stream carrying spatial/action information​ PMC.NCBI.NLM.NIH.GOV . This region uses spatial visual input from parietal cortex to guide working memory and decision-making (a dorsal stream cognitive function)​ PMC.NCBI.NLM.NIH.GOV ."
lh_17Networks_LH_ContA_PFCl,Dorsal,"Lateral prefrontal cortex (PFCl) in Control A network supports goal-directed behavior with strong connections to dorsal parietal regions. It contributes to spatial working memory and attention control​ JOURNALS.PHYSIOLOGY.ORG . Its reliance on “where/how” information (locations, spatial context) aligns with dorsal stream processing."
lh_17Networks_LH_ContA_PFClv,Dorsal,"Ventrolateral prefrontal cortex in Control A (PFClv) still operates within a dorsolateral-dominated control circuit. It likely interfaces between DLPFC and ventral PFC, but given its inclusion in ContA, it subserves action-oriented executive functions (e.g., spatial cue processing), thus leaning toward dorsal stream influence​ PMC.NCBI.NLM.NIH.GOV ."
lh_17Networks_LH_ContA_Cinga,Dorsal,"Anterior cingulate gyrus (Cingulate A) in Control A is part of the dorsal executive control circuit, often involved in monitoring actions and conflict. This dorsal midline region interacts with dorsal attention and motor areas to ensure goal-directed performance, fitting with dorsal stream-mediated action control​ JOURNALS.PHYSIOLOGY.ORG ."
lh_17Networks_LH_ContB_Temp,Ventral,Control Network B – Temporal region (likely inferior/middle temporal) – is part of a ventrolateral frontoparietal control system. It may deal with integrating semantic or identity-related information into executive processes. Its location and network context suggest alignment with ventral-stream information (object and context knowledge) for cognitive control​ RESEARCHGATE.NET .
lh_17Networks_LH_ContB_IPL,Ventral,Inferior parietal lobule in Control B (overlapping angular gyrus) links to ventrolateral PFC and is involved in contextual and conceptual aspects of tasks. IPL (angular gyrus) is more associated with ventral-stream functions like episodic memory retrieval and semantic processing (default/ventral systems) than with pure spatial processing​ JOURNALS.PHYSIOLOGY.ORG .
lh_17Networks_LH_ContB_PFCd,Ventral,"Dorsal PFC in Control B likely corresponds to a more ventrally-biased executive subnetwork. Although in PFCd, this node in ContB interacts with ventral frontal and temporal regions (as part of FPN-B). It may contribute to rule application or social cognitive tasks that rely on “what” content, aligning it with ventral-stream cognitive processing​ RESEARCHGATE.NET ."
lh_17Networks_LH_ContB_PFCl,Ventral,"Lateral PFC in Control B works with TPJ and ventral temporal regions in a ventrolateral control network. It is implicated in goal-setting based on object/context cues (e.g., task rules involving stimulus identity). This emphasis on content (rather than space) indicates ventral stream linkage in guiding behavior​ RESEARCHGATE.NET ."
lh_17Networks_LH_ContB_PFClv,Ventral,"Ventrolateral PFC (PFClv) in Control B is a cornerstone of the ventral executive network, concerned with integrating “what” information (language, object value, social cues) into decision-making​ RESEARCHGATE.NET . Its processing of object-oriented and conceptual information (over spatial metrics) ties it to ventral-stream mediated control."
lh_17Networks_LH_ContB_PFCmp,Ventral,"Medial prefrontal cortex in Control B (PFCmp) overlaps with ventromedial PFC, which integrates memory and affect into executive function. This region is more connected to ventral stream outputs (e.g., semantic and emotional context from temporal lobe) than to dorsal spatial data, supporting a ventral-stream-oriented role in the control network​ EN.WIKIPEDIA.ORG ."
lh_17Networks_LH_ContC_pCun,Ventral,"Precuneus in Control Network C is part of the posterior medial cortex associated with the default-mode/limbic networks. It encodes contextual scenes and self-referential content rather than immediate spatial targets. Thus, it aligns with ventral stream-associated functions (constructing visual context and meaning) over dorsal action guidance​ PMC.NCBI.NLM.NIH.GOV ."
lh_17Networks_LH_ContC_Cingp,Ventral,"Posterior cingulate (Cingp) in Control C is a hub of the default mode network, dealing with autobiographical memory and scene context. Its processing is oriented toward internal, identity-related visualizations (“what”/context) rather than guiding external actions, fitting ventral stream-type processing of enduring visual representations​ PMC.NCBI.NLM.NIH.GOV ."
lh_17Networks_LH_DefaultA_IPL,Ventral,"Inferior parietal lobule (Angular gyrus) in DefaultA is involved in episodic memory and semantic aspects of visual scenes – classic ventral-stream-related functions (interpreting “what” and context)​ PMC.NCBI.NLM.NIH.GOV . It is not primarily spatial; instead it helps represent contextual meaning of visual input, consistent with ventral pathway roles."
lh_17Networks_LH_DefaultA_PFCd,Ventral,"Dorsomedial prefrontal cortex (PFCd in DefaultA, likely dorsal medial PFC) participates in self-referential thought and concept-driven prediction. It uses high-level contextual information (person, object identity, social cues) – ventral stream products – rather than visual spatial coordinates, aligning it with ventral processing streams​ PMC.NCBI.NLM.NIH.GOV ."
lh_17Networks_LH_DefaultA_PCC,Ventral,"Posterior cingulate cortex (PCC) in DefaultA is central to the default mode network, integrating visual context and autobiographical memory. It deals with the meaningful “scene” or environment (places, familiar objects) and thus relies on ventral stream information about object identity and context in visual imagery​ PMC.NCBI.NLM.NIH.GOV ."
lh_17Networks_LH_DefaultA_PFCm,Ventral,"Medial prefrontal cortex (PFCm) in DefaultA (ventromedial PFC) is involved in evaluating internally generated visual memories and stimulus value. It processes the significance of “what” information (people, objects, scenarios), a function supported by ventral visual stream inputs (rich semantic representations)​ PMC.NCBI.NLM.NIH.GOV ."
lh_17Networks_LH_DefaultB_Temp,Ventral,"Lateral temporal cortex in DefaultB (e.g., middle temporal gyrus) supports semantic memory and language, handling the content of visual experiences (the “what”/meaning). This region receives ventral stream visual inputs (object and face information) and is firmly in the ventral pathway domain concerned with narrative and meaning​ PMC.NCBI.NLM.NIH.GOV ."
lh_17Networks_LH_DefaultB_IPL,Ventral,"Inferior parietal (Angular gyrus) in DefaultB, like in DefaultA, is engaged in reconstructing scenes and recalling events (using ventral visual details). It encodes conceptual and memory aspects of vision rather than spatial coordinates, indicating a ventral stream association (focused on identity and context)​ PMC.NCBI.NLM.NIH.GOV ."
lh_17Networks_LH_DefaultB_PFCd,Ventral,"Dorsal prefrontal in DefaultB likely corresponds to dorsomedial or dorsolateral PFC that coactivates with ventral regions during internally-focused thought. In the default network context, this PFC region manipulates the content of thoughts (people, objects, plans) which draws on ventral visual stream inputs (the “what” details in memory)​ PMC.NCBI.NLM.NIH.GOV ."
lh_17Networks_LH_DefaultB_PFCl,Ventral,"Lateral PFC in DefaultB (possibly middle frontal gyrus) is part of a default/controlled network concerned with social and semantic reasoning. It utilizes ventral stream information (factual and visual detail from temporal cortex) to simulate scenarios, as opposed to guiding immediate spatial actions, hence classified as ventral-related​ PMC.NCBI.NLM.NIH.GOV ."
lh_17Networks_LH_DefaultB_PFCv,Ventral,"Ventral PFC (DefaultB_PFCv, inferior frontal) is involved in language and semantic retrieval within the default network. It processes object and conceptual knowledge (e.g., naming, semantics) reliant on ventral stream inputs from temporal lobe​ EN.WIKIPEDIA.ORG . Thus it operates on “what” content from vision, characteristic of ventral stream cognition."
lh_17Networks_LH_DefaultC_IPL,Ventral,"Inferior parietal (DefaultC_IPL, likely angular/supramarginal) is part of a default subnetwork linking to medial temporal lobe (PHC). It helps integrate contextual visuals (places, events) with memory – a ventral stream function centered on “what and where in context” rather than real-time spatial guidance​ PMC.NCBI.NLM.NIH.GOV ."
lh_17Networks_LH_DefaultC_Rsp,Ventral,"Retrosplenial cortex (DefaultC_Rsp) processes scenes, places, and contextual visual details, and is strongly connected to parahippocampal (place) cortex. It is a high-order association area that encodes stable visual context (landmarks, layouts) – consistent with ventral stream’s role in identifying and remembering “what” in an environment​ PMC.NCBI.NLM.NIH.GOV ."
lh_17Networks_LH_DefaultC_PHC,Ventral,"Parahippocampal cortex (DefaultC_PHC) encodes visual scenes and contextual cues (e.g., places, familiar layouts) as part of memory. It is a direct extension of the ventral visual stream into medial temporal lobe​ PMC.NCBI.NLM.NIH.GOV , specialized for the “what” of scene context (locations recognized by appearance), not for online spatial navigation (dorsal)."
lh_17Networks_LH_TempPar,Ventral,‘TempPar’ (temporal-parietal network) corresponds to the ventral attention network’s temporoparietal junction component​ JOURNALS.PHYSIOLOGY.ORG . It specializes in detecting unexpected external stimuli (at the TPJ) and coupling to ventral frontal cortex. This function – stimulus-driven reorienting to “what” occurred – places TempPar in the ventral stream of attention​ JOURNALS.PHYSIOLOGY.ORG .
